experiment_test,experiment_train,fold,model,participant,score,window
ATT,POS,1,LogisticRegression,AS,0.579652409685413,0
ATT,POS,2,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,3,LogisticRegression,AS,0.579652409685413,0
ATT,POS,4,LogisticRegression,AS,0.579652409685413,0
ATT,POS,5,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,6,LogisticRegression,AS,0.579652409685413,0
ATT,POS,7,LogisticRegression,AS,0.5797079707970797,0
ATT,POS,8,LogisticRegression,AS,0.579652409685413,0
ATT,POS,9,LogisticRegression,AS,0.579652409685413,0
ATT,POS,10,LogisticRegression,AS,0.579652409685413,0
ATT,POS,11,LogisticRegression,AS,0.579652409685413,0
ATT,POS,12,LogisticRegression,AS,0.579652409685413,0
ATT,POS,13,LogisticRegression,AS,0.579652409685413,0
ATT,POS,14,LogisticRegression,AS,0.579652409685413,0
ATT,POS,15,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,16,LogisticRegression,AS,0.579652409685413,0
ATT,POS,17,LogisticRegression,AS,0.579652409685413,0
ATT,POS,18,LogisticRegression,AS,0.579652409685413,0
ATT,POS,19,LogisticRegression,AS,0.579652409685413,0
ATT,POS,20,LogisticRegression,AS,0.579652409685413,0
ATT,POS,21,LogisticRegression,AS,0.579652409685413,0
ATT,POS,22,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,23,LogisticRegression,AS,0.579652409685413,0
ATT,POS,24,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,25,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,26,LogisticRegression,AS,0.579652409685413,0
ATT,POS,27,LogisticRegression,AS,0.579652409685413,0
ATT,POS,28,LogisticRegression,AS,0.579652409685413,0
ATT,POS,29,LogisticRegression,AS,0.579652409685413,0
ATT,POS,30,LogisticRegression,AS,0.579652409685413,0
ATT,POS,31,LogisticRegression,AS,0.579652409685413,0
ATT,POS,32,LogisticRegression,AS,0.579652409685413,0
ATT,POS,33,LogisticRegression,AS,0.579652409685413,0
ATT,POS,34,LogisticRegression,AS,0.579652409685413,0
ATT,POS,35,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,36,LogisticRegression,AS,0.579652409685413,0
ATT,POS,37,LogisticRegression,AS,0.579652409685413,0
ATT,POS,38,LogisticRegression,AS,0.579652409685413,0
ATT,POS,39,LogisticRegression,AS,0.579652409685413,0
ATT,POS,40,LogisticRegression,AS,0.579652409685413,0
ATT,POS,41,LogisticRegression,AS,0.579652409685413,0
